art_id,entity_text,doc_id,similarity,match_type,type_of_relation
292100E1_81,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
292100E1_82,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
292100E1_83,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
3A2C8488_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3A2C8488_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3A2C8488_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3A2C8488_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3A2C8488_2,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
3A2C8488_2,Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,3A2C8488,1.0,name,mencion_ley_oficial
3A2C8488_2,Reglamento de la Ley de Gestion Integral de Riesgos y Proteccion Civil de la Ciudad de Mexico,D61F4C69,1.0,name,mencion_ley_oficial
3A2C8488_8,Ley Organica del Poder Ejecutivo y de la Administracion Publica de la Ciudad de Mexico,1CF89C01,1.0,name,mencion_ley_oficial
3A2C8488_8,Ley Organica de Alcaldias de la Ciudad de Mexico,955199A7,1.0,name,mencion_ley_oficial
3A2C8488_8,Ley Organica de Alcaldias de la Ciudad de Mexico,955199A7,1.0,name,mencion_ley_oficial
3A2C8488_10,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
3A2C8488_10,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
3A2C8488_14,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
3A2C8488_15,Ley de Procedimiento Administrativo de la Ciudad de Mexico,0FC021B6,1.0,name,mencion_ley_oficial
3A2C8488_48,Ley General de Proteccion Civil,A8C11A3A,1.0,name,mencion_ley_oficial
