art_id,type_of_relation,art_id_buscar
7259296D_22,auto_referencia_articulo,7259296D_20
7259296D_30,auto_referencia_articulo,7259296D_31
C371528F_27,auto_referencia_articulo,C371528F_49
C371528F_29,auto_referencia_articulo,C371528F_65
C371528F_56,auto_referencia_articulo,C371528F_36
C371528F_60,auto_referencia_articulo,C371528F_63
C371528F_63,auto_referencia_articulo,C371528F_60
C371528F_70,auto_referencia_articulo,C371528F_69
C371528F_71,auto_referencia_articulo,C371528F_70
C371528F_72,auto_referencia_articulo,C371528F_69
C371528F_100,auto_referencia_articulo,C371528F_101
EDEA48F4_3,auto_referencia_articulo,EDEA48F4_4
EDEA48F4_4,auto_referencia_articulo,EDEA48F4_24
EDEA48F4_24,auto_referencia_articulo,EDEA48F4_4
EDEA48F4_31,auto_referencia_articulo,EDEA48F4_20
C57B66D6_2,auto_referencia_articulo,C57B66D6_98
C57B66D6_2,auto_referencia_articulo,C57B66D6_76
C57B66D6_2,auto_referencia_articulo,C57B66D6_132
C57B66D6_3,auto_referencia_articulo,C57B66D6_122
C57B66D6_3,auto_referencia_articulo,C57B66D6_6
C57B66D6_9,auto_referencia_articulo,C57B66D6_7
C57B66D6_9,auto_referencia_articulo,C57B66D6_17
C57B66D6_12,auto_referencia_articulo,C57B66D6_45
C57B66D6_23,auto_referencia_articulo,C57B66D6_21
C57B66D6_24,auto_referencia_articulo,C57B66D6_242
C57B66D6_26,auto_referencia_articulo,C57B66D6_23
C57B66D6_39,auto_referencia_articulo,C57B66D6_36
C57B66D6_40,auto_referencia_articulo,C57B66D6_37
C57B66D6_41,auto_referencia_articulo,C57B66D6_38
C57B66D6_41,auto_referencia_articulo,C57B66D6_42
C57B66D6_46,auto_referencia_articulo,C57B66D6_12
C57B66D6_57,auto_referencia_articulo,C57B66D6_60
C57B66D6_57,auto_referencia_articulo,C57B66D6_55
C57B66D6_57,auto_referencia_articulo,C57B66D6_58
C57B66D6_57,auto_referencia_articulo,C57B66D6_66
C57B66D6_58,auto_referencia_articulo,C57B66D6_239
C57B66D6_58,auto_referencia_articulo,C57B66D6_59
C57B66D6_60,auto_referencia_articulo,C57B66D6_60
C57B66D6_60,auto_referencia_articulo,C57B66D6_57
C57B66D6_72,auto_referencia_articulo,C57B66D6_67
C57B66D6_74,auto_referencia_articulo,C57B66D6_67
C57B66D6_76QUINTUS,auto_referencia_articulo,C57B66D6_96
C57B66D6_78,auto_referencia_articulo,C57B66D6_217
C57B66D6_79,auto_referencia_articulo,C57B66D6_100
C57B66D6_84,auto_referencia_articulo,C57B66D6_81
C57B66D6_84,auto_referencia_articulo,C57B66D6_7
C57B66D6_84,auto_referencia_articulo,C57B66D6_76QUATER
C57B66D6_84,auto_referencia_articulo,C57B66D6_238
C57B66D6_84,auto_referencia_articulo,C57B66D6_92
C57B66D6_84BIS,auto_referencia_articulo,C57B66D6_84
C57B66D6_84BIS,auto_referencia_articulo,C57B66D6_81
