art_id,entity_id,type_of_relation
D61F4C69_106,3EF0192E,mencion_entidad_gubernamental_oficial
D61F4C69_106,83FE9CA0,mencion_entidad_gubernamental_oficial
D61F4C69_106,69DA661F,mencion_entidad_gubernamental_oficial
D61F4C69_111,625ACAC7,mencion_entidad_gubernamental_oficial
D61F4C69_111,56565DC5,mencion_entidad_gubernamental_oficial
D61F4C69_118,C18252C2,mencion_entidad_gubernamental_oficial
D61F4C69_147,2870C225,mencion_entidad_gubernamental_oficial
D61F4C69_163,2870C225,mencion_entidad_gubernamental_oficial
D61F4C69_202BIS,358D6BAA,mencion_entidad_gubernamental_oficial
D61F4C69_207,E2EEE4C1,mencion_entidad_gubernamental_oficial
D61F4C69_231,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_232,7CC77915,mencion_entidad_gubernamental_oficial
70FCECA0_5,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_7,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_13,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_15,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_16,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_17,2870C225,mencion_entidad_gubernamental_oficial
70FCECA0_18,919DEC37,mencion_entidad_gubernamental_oficial
70FCECA0_19,32A26AD3,mencion_entidad_gubernamental_oficial
70FCECA0_20,6599D971,mencion_entidad_gubernamental_oficial
491D6477_3,4344BA8B,mencion_entidad_gubernamental_oficial
491D6477_3,4344BA8B,mencion_entidad_gubernamental_oficial
491D6477_3,4344BA8B,mencion_entidad_gubernamental_oficial
491D6477_3,6A0CEE9A,mencion_entidad_gubernamental_oficial
491D6477_3,6EF1024A,mencion_entidad_gubernamental_oficial
491D6477_3,6A0CEE9A,mencion_entidad_gubernamental_oficial
491D6477_9,908C23C8,mencion_entidad_gubernamental_oficial
491D6477_9,4344BA8B,mencion_entidad_gubernamental_oficial
491D6477_9,908C23C8,mencion_entidad_gubernamental_oficial
491D6477_20,6EF1024A,mencion_entidad_gubernamental_oficial
491D6477_148,908C23C8,mencion_entidad_gubernamental_oficial
491D6477_220,6A0CEE9A,mencion_entidad_gubernamental_oficial
491D6477_220,4344BA8B,mencion_entidad_gubernamental_oficial
E622A0D8_1,0E611423,mencion_entidad_gubernamental_oficial
E622A0D8_2,14C01911,mencion_entidad_gubernamental_oficial
E622A0D8_2,F7063D84,mencion_entidad_gubernamental_oficial
E622A0D8_2,F7063D84,mencion_entidad_gubernamental_oficial
E622A0D8_2,0E611423,mencion_entidad_gubernamental_oficial
E622A0D8_3,0E611423,mencion_entidad_gubernamental_oficial
E622A0D8_4,FBE3F640,mencion_entidad_gubernamental_oficial
E622A0D8_6,E2EEE4C1,mencion_entidad_gubernamental_oficial
E622A0D8_6,919DEC37,mencion_entidad_gubernamental_oficial
E622A0D8_6,FBE3F640,mencion_entidad_gubernamental_oficial
E622A0D8_6,C18252C2,mencion_entidad_gubernamental_oficial
E622A0D8_6,625ACAC7,mencion_entidad_gubernamental_oficial
E622A0D8_6,769FDCA1,mencion_entidad_gubernamental_oficial
E622A0D8_7,E2EEE4C1,mencion_entidad_gubernamental_oficial
E622A0D8_7,919DEC37,mencion_entidad_gubernamental_oficial
E622A0D8_7,E8D7667E,mencion_entidad_gubernamental_oficial
E622A0D8_7,64181BA9,mencion_entidad_gubernamental_oficial
E622A0D8_7,109A7F07,mencion_entidad_gubernamental_oficial
E622A0D8_10,F7063D84,mencion_entidad_gubernamental_oficial
E622A0D8_10,C9AC2B2F,mencion_entidad_gubernamental_oficial
E622A0D8_10,F7063D84,mencion_entidad_gubernamental_oficial
E622A0D8_10,C9AC2B2F,mencion_entidad_gubernamental_oficial
E622A0D8_10,FBE3F640,mencion_entidad_gubernamental_oficial
E622A0D8_20,6EF1024A,mencion_entidad_gubernamental_oficial
E622A0D8_21,6EF1024A,mencion_entidad_gubernamental_oficial
69638137_2,15EE7EA2,mencion_entidad_gubernamental_oficial
69638137_2,E9B9C5D2,mencion_entidad_gubernamental_oficial
69638137_3,15EE7EA2,mencion_entidad_gubernamental_oficial
69638137_3,E9B9C5D2,mencion_entidad_gubernamental_oficial
69638137_3,E9B9C5D2,mencion_entidad_gubernamental_oficial
