art_id,type_of_relation,doc_id
1D958C03_13,art_parte_doc,1D958C03
1D958C03_14,art_parte_doc,1D958C03
1D958C03_15,art_parte_doc,1D958C03
1D958C03_16,art_parte_doc,1D958C03
1D958C03_17,art_parte_doc,1D958C03
1D958C03_18,art_parte_doc,1D958C03
1D958C03_19,art_parte_doc,1D958C03
1D958C03_20,art_parte_doc,1D958C03
1D958C03_21,art_parte_doc,1D958C03
1D958C03_22,art_parte_doc,1D958C03
1D958C03_23,art_parte_doc,1D958C03
1D958C03_24,art_parte_doc,1D958C03
1D958C03_25,art_parte_doc,1D958C03
1D958C03_26,art_parte_doc,1D958C03
1D958C03_27,art_parte_doc,1D958C03
1D958C03_28,art_parte_doc,1D958C03
1D958C03_29,art_parte_doc,1D958C03
1D958C03_30,art_parte_doc,1D958C03
1D958C03_31,art_parte_doc,1D958C03
1D958C03_32,art_parte_doc,1D958C03
1D958C03_TRANS,art_parte_doc,1D958C03
B0784E5D_1,art_parte_doc,B0784E5D
B0784E5D_2,art_parte_doc,B0784E5D
B0784E5D_3,art_parte_doc,B0784E5D
B0784E5D_4,art_parte_doc,B0784E5D
B0784E5D_5,art_parte_doc,B0784E5D
B0784E5D_6,art_parte_doc,B0784E5D
B0784E5D_7,art_parte_doc,B0784E5D
B0784E5D_8,art_parte_doc,B0784E5D
B0784E5D_9,art_parte_doc,B0784E5D
B0784E5D_10,art_parte_doc,B0784E5D
B0784E5D_11,art_parte_doc,B0784E5D
B0784E5D_12,art_parte_doc,B0784E5D
B0784E5D_13,art_parte_doc,B0784E5D
B0784E5D_14,art_parte_doc,B0784E5D
B0784E5D_15,art_parte_doc,B0784E5D
B0784E5D_16,art_parte_doc,B0784E5D
B0784E5D_17,art_parte_doc,B0784E5D
B0784E5D_18,art_parte_doc,B0784E5D
B0784E5D_19,art_parte_doc,B0784E5D
B0784E5D_20,art_parte_doc,B0784E5D
B0784E5D_21,art_parte_doc,B0784E5D
B0784E5D_22,art_parte_doc,B0784E5D
B0784E5D_23,art_parte_doc,B0784E5D
B0784E5D_24,art_parte_doc,B0784E5D
B0784E5D_25,art_parte_doc,B0784E5D
B0784E5D_26,art_parte_doc,B0784E5D
B0784E5D_27,art_parte_doc,B0784E5D
B0784E5D_28,art_parte_doc,B0784E5D
B0784E5D_29,art_parte_doc,B0784E5D
B0784E5D_30,art_parte_doc,B0784E5D
B0784E5D_31,art_parte_doc,B0784E5D
B0784E5D_32,art_parte_doc,B0784E5D
B0784E5D_33,art_parte_doc,B0784E5D
B0784E5D_34,art_parte_doc,B0784E5D
B0784E5D_35,art_parte_doc,B0784E5D
B0784E5D_36,art_parte_doc,B0784E5D
B0784E5D_37,art_parte_doc,B0784E5D
B0784E5D_38,art_parte_doc,B0784E5D
B0784E5D_39,art_parte_doc,B0784E5D
B0784E5D_TRANS,art_parte_doc,B0784E5D
3F66D749_1,art_parte_doc,3F66D749
3F66D749_2,art_parte_doc,3F66D749
3F66D749_3,art_parte_doc,3F66D749
3F66D749_4,art_parte_doc,3F66D749
3F66D749_5,art_parte_doc,3F66D749
3F66D749_6,art_parte_doc,3F66D749
3F66D749_7,art_parte_doc,3F66D749
3F66D749_8,art_parte_doc,3F66D749
3F66D749_9,art_parte_doc,3F66D749
3F66D749_10,art_parte_doc,3F66D749
3F66D749_10BIS,art_parte_doc,3F66D749
3F66D749_11,art_parte_doc,3F66D749
3F66D749_12,art_parte_doc,3F66D749
3F66D749_13,art_parte_doc,3F66D749
3F66D749_14,art_parte_doc,3F66D749
3F66D749_15,art_parte_doc,3F66D749
3F66D749_16,art_parte_doc,3F66D749
3F66D749_17,art_parte_doc,3F66D749
3F66D749_18,art_parte_doc,3F66D749
3F66D749_19,art_parte_doc,3F66D749
3F66D749_20,art_parte_doc,3F66D749
3F66D749_21,art_parte_doc,3F66D749
3F66D749_22,art_parte_doc,3F66D749
3F66D749_23,art_parte_doc,3F66D749
3F66D749_25,art_parte_doc,3F66D749
3F66D749_26,art_parte_doc,3F66D749
3F66D749_28,art_parte_doc,3F66D749
3F66D749_29,art_parte_doc,3F66D749
3F66D749_30,art_parte_doc,3F66D749
3F66D749_31,art_parte_doc,3F66D749
3F66D749_32,art_parte_doc,3F66D749
3F66D749_33,art_parte_doc,3F66D749
3F66D749_34,art_parte_doc,3F66D749
3F66D749_35,art_parte_doc,3F66D749
3F66D749_36,art_parte_doc,3F66D749
3F66D749_37,art_parte_doc,3F66D749
3F66D749_38,art_parte_doc,3F66D749
3F66D749_39,art_parte_doc,3F66D749
3F66D749_40,art_parte_doc,3F66D749
3F66D749_41,art_parte_doc,3F66D749
3F66D749_42,art_parte_doc,3F66D749
3F66D749_43,art_parte_doc,3F66D749
3F66D749_44,art_parte_doc,3F66D749
3F66D749_45,art_parte_doc,3F66D749
3F66D749_46,art_parte_doc,3F66D749
3F66D749_47,art_parte_doc,3F66D749
3F66D749_48,art_parte_doc,3F66D749
3F66D749_49,art_parte_doc,3F66D749
3F66D749_50,art_parte_doc,3F66D749
3F66D749_51,art_parte_doc,3F66D749
3F66D749_52,art_parte_doc,3F66D749
3F66D749_53,art_parte_doc,3F66D749
